filename,original_total_bits,huffman_encoded_bits,compression_percentage
0006.jpg,7372800,7123926,3.38
0007.jpg,7372800,7127729,3.32
0005.jpg,7372800,7051875,4.35
0010.jpg,7372800,7122561,3.39
0004.jpg,7372800,7048879,4.39
0000.jpg,7372800,6838212,7.25
0001.jpg,7372800,6811656,7.61
0003.jpg,7372800,6949892,5.74
0002.jpg,7372800,6986195,5.24
0009.jpg,7372800,7108539,3.58
0008.jpg,7372800,7124817,3.36
